"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/855af2da-e665-4c45-b4a8-11e025e7a188-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23","Fortnite","58469385","2475","83667","23623","4787526","137315","4970753","true","false","English","Fortnite"
"https://static-cdn.jtvnw.net/jtv_user_pictures/086350b1-a7cf-4ee9-ab58-2d06a99723da-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","24","Amouranth","207910530","23475","20169","8856","4755427","110411","16214374","true","false","English","Amouranth"
"https://static-cdn.jtvnw.net/jtv_user_pictures/905af69a-4fd8-42c7-b842-bf4ee4d51b3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","25","Tubbo","58100670","1560","109049","37244","4655055","57928","1303812","true","false","English","Tubbo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","26","loltyler1","287073600","12465","45031","23030","4650795","55174","5739785","true","false","English","loltyler1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/88372511-029d-409f-9867-3c089b72fd97-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","27","dakotaz","7475400","8385","5590","891","4641125","-3067","192381","true","false","English","dakotaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/747d216a-ddc2-4b1e-b3ad-d4fc24f955a5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","28","elded","69856845","9195","35319","7597","4580711","51617","1428951","true","false","Spanish","elded"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ff238566-dc40-4849-8f80-8fbbcfaabbc9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","29","GeorgeNotFound","23014725","225","163541","102287","4573371","60465","406359","true","false","English","GeorgeNotFound"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c829484a-c662-40de-a243-00ec253cabbb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","30","Clix","72565950","4845","30539","14977","4289026","64539","2563841","true","false","English","Clix"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2c3f7cfb-76e9-4557-8432-dfa895aabdba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","31","MontanaBlack88","519936750","9765","104321","53244","4268045","47762","5792393","true","true","German","MontanaBlack88"
"https://static-cdn.jtvnw.net/jtv_user_pictures/823b1a32-eb4e-425a-b1e6-48913ed58f1b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","32","Quackity","30176055","120","324659","251467","4213150","39847","672334","true","false","English","Quackity"
"https://static-cdn.jtvnw.net/jtv_user_pictures/96a94fcc-65e6-46f7-af5c-dc308155a63b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","33","WilburSoot","23762775","315","109565","75437","4130493","27622","419372","true","true","English","WilburSoot"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8de4d844-586d-4be9-8570-04a0678fa99e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","34","RanbooLive","86544480","1605","119519","53921","4029123","78618","1540580","true","false","English","RanbooLive"
"https://static-cdn.jtvnw.net/jtv_user_pictures/sykkuno-profile_image-6ab1e70e07e29e9b-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","35","Sykkuno","181525590","8955","48053","20270","3870710","50730","3264139","true","false","English","Sykkuno"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0c784204-f3aa-454f-aacc-8e304a6afc72-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","36","Philza","88460370","4515","38762","19592","3757196","77483","1556528","true","true","English","Philza"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1aea44a4-d85b-401e-b9f5-cb6906d77594-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","37","benjyfishy","24054855","1860","30502","12932","3696080","18093","1034899","true","false","English","benjyfishy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b2eb8a23-d6ad-45aa-bd8e-062133b64452-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","38","Faker","52944450","2550","37570","20762","3688863","44951","3347278","true","false","Korean","Faker"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2860bc62-377d-40da-918b-470b2afe08e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","39","NOBRU","39587745","6525","35872","6067","3603244","30121","323812","true","false","Portuguese","NOBRU"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1d41de3c-731d-41ae-b0e7-615ad74db8f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","40","Symfuhny","108007005","13275","21549","8136","3487795","27354","1794271","true","true","English","Symfuhny"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e5275ba1-1903-4cd6-a066-3a80b87d22cf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","41","SLAKUN10","13199775","420","50933","31428","3485607","38393","422338","true","false","Spanish","SLAKUN10"
"https://static-cdn.jtvnw.net/jtv_user_pictures/13186be9-68d9-4df7-a2ed-676b4076802e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","42","RocketLeague","191441925","4110","124441","46579","3382038","28618","3010906","true","false","English","RocketLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/69e324f6-fc7d-4131-89ed-227a955637cf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","43","Gotaga","179441220","18285","44486","9813","3378806","37074","3556376","true","false","French","Gotaga"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c3a2d34f-a063-45f1-b857-c33788527c83-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","44","NickEh30","51233400","8820","25074","5808","3362464","75989","1193110","true","false","English","NickEh30"
